id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,110278.0,2196054418142,-2.46752,113307.0,110263.0,124128.0,67.81,29-08-2025 13:16:00
ethereum,4395.46,530586092928,-3.80064,4625.35,4381.93,4946.05,0.432979,29-08-2025 13:16:00
ripple,2.87,170872666860,-4.08464,3.02,2.87,3.65,0.00268621,29-08-2025 13:16:00
tether,1.0,167377181690,0.00575,1.0,1.0,1.32,0.572521,29-08-2025 13:16:00
binancecoin,860.26,119549266256,-1.075,878.8,858.96,899.77,0.0398177,29-08-2025 13:16:00
solana,209.63,113007247399,-0.64366,217.66,208.72,293.31,0.500801,29-08-2025 13:16:00
usd-coin,0.999812,70652882893,-0.0003,0.999844,0.999707,1.17,0.877647,29-08-2025 13:16:00
staked-ether,4384.15,38305832770,-3.93354,4614.84,4373.1,4932.89,482.9,29-08-2025 13:16:00
dogecoin,0.215552,32486583453,-3.38148,0.225696,0.21515,0.731578,8.69e-05,29-08-2025 13:16:00
tron,0.341536,32328709194,-1.79706,0.349471,0.341387,0.431288,0.00180434,29-08-2025 13:16:00
cardano,0.830235,30227995211,-4.12663,0.877546,0.828397,3.09,0.01925275,29-08-2025 13:16:00
wrapped-steth,5311.61,16775808175,-4.01178,5583.81,5307.04,7256.02,558.54,29-08-2025 13:16:00
chainlink,23.69,16063496545,-1.67487,25.82,23.64,52.7,0.148183,29-08-2025 13:16:00
wrapped-beacon-eth,4734.69,14477939000,-3.77605,4982.67,4720.3,5330.78,1501.6,29-08-2025 13:16:00
wrapped-bitcoin,110327.0,14006102612,-2.44621,113631.0,110275.0,123882.0,3139.17,29-08-2025 13:16:00
ethena-usde,1.0,12297126395,-0.03446,1.001,0.99945,1.032,0.929486,29-08-2025 13:16:00
hyperliquid,44.48,12049181122,-8.11982,48.89,44.52,50.99,3.81,29-08-2025 13:16:00
wrapped-eeth,4703.47,11916105461,-3.89455,4949.07,4695.5,5296.78,1505.24,29-08-2025 13:16:00
sui,3.36,11792192413,-3.49679,3.52,3.36,5.35,0.364846,29-08-2025 13:16:00
