id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
agentfun-ai,3.29,330918507,-15.16596,4.35,3.25,25.25,1.4,29-08-2025 13:16:00
crypto-com-chain,0.296477,9905286176,-12.97052,0.383847,0.28872,0.965407,0.0121196,29-08-2025 13:16:00
livepeer,7.3,319578743,-11.23504,8.78,7.29,99.03,0.354051,29-08-2025 13:16:00
loaded-lions,0.02282691,698672323,-10.76522,0.02796477,0.0223726,0.03159196,0.00221931,29-08-2025 13:16:00
telcoin,0.00470349,435434240,-9.16191,0.00520396,0.00469894,0.064483,6.474e-05,29-08-2025 13:16:00
spx6900,1.15,1071546603,-8.66863,1.28,1.15,2.27,0.00131808,29-08-2025 13:16:00
wrapped-hype,44.48,357119800,-8.19813,48.9,44.42,50.95,9.43,29-08-2025 13:16:00
bio-protocol,0.17372,354782852,-8.12002,0.19336,0.172242,0.888995,0.0407545,29-08-2025 13:16:00
hyperliquid,44.48,12049181122,-8.11982,48.89,44.52,50.99,3.81,29-08-2025 13:16:00
kinetic-staked-hype,44.6,1600957287,-8.1003,48.92,44.5,51.18,35.62,29-08-2025 13:16:00
